1736696938.531824 server started (5779): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1736696938.531849 on Darwin 23.1.0 Darwin Kernel Version 23.1.0: Mon Oct  9 21:33:00 PDT 2023; root:xnu-10002.41.9~7/RELEASE_ARM64_T6031
1736696938.531859 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1736696938.531944 input_key_build: 0x10e003 (PasteStart) is \033[200~
1736696938.531949 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1736696938.531955 input_key_build: 0x10e195 (F1) is \033OP
1736696938.531959 input_key_build: 0x10e196 (F2) is \033OQ
1736696938.531963 input_key_build: 0x10e197 (F3) is \033OR
1736696938.531967 input_key_build: 0x10e198 (F4) is \033OS
1736696938.531970 input_key_build: 0x10e199 (F5) is \033[15~
1736696938.531974 input_key_build: 0x10e19a (F6) is \033[17~
1736696938.531977 input_key_build: 0x10e19b (F7) is \033[18~
1736696938.531981 input_key_build: 0x10e19c (F8) is \033[19~
1736696938.531984 input_key_build: 0x10e19d (F9) is \033[20~
1736696938.531988 input_key_build: 0x10e19e (F10) is \033[21~
1736696938.531991 input_key_build: 0x10e19f (F11) is \033[23~
1736696938.531995 input_key_build: 0x10e1a0 (F12) is \033[24~
1736696938.531999 input_key_build: 0x10e1a1 (IC) is \033[2~
1736696938.532003 input_key_build: 0x10e1a2 (DC) is \033[3~
1736696938.532006 input_key_build: 0x10e1a3 (Home) is \033[1~
1736696938.532010 input_key_build: 0x10e1a4 (End) is \033[4~
1736696938.532014 input_key_build: 0x10e1a5 (NPage) is \033[6~
1736696938.532018 input_key_build: 0x10e1a6 (PPage) is \033[5~
1736696938.532022 input_key_build: 0x10e1a7 (BTab) is \033[Z
1736696938.532026 input_key_build: 0x10e1a8 (Up) is \033[A
1736696938.532029 input_key_build: 0x10e1a9 (Down) is \033[B
1736696938.532033 input_key_build: 0x10e1aa (Left) is \033[D
1736696938.532036 input_key_build: 0x10e1ab (Right) is \033[C
1736696938.532041 input_key_build: 0x10e1ac (KP/) is /
1736696938.532045 input_key_build: 0x10e1ad (KP*) is *
1736696938.532049 input_key_build: 0x10e1ae (KP-) is -
1736696938.532054 input_key_build: 0x10e1af (KP7) is 7
1736696938.532058 input_key_build: 0x10e1b0 (KP8) is 8
1736696938.532062 input_key_build: 0x10e1b1 (KP9) is 9
1736696938.532066 input_key_build: 0x10e1b2 (KP+) is +
1736696938.532070 input_key_build: 0x10e1b3 (KP4) is 4
1736696938.532073 input_key_build: 0x10e1b4 (KP5) is 5
1736696938.532077 input_key_build: 0x10e1b5 (KP6) is 6
1736696938.532081 input_key_build: 0x10e1b6 (KP1) is 1
1736696938.532085 input_key_build: 0x10e1b7 (KP2) is 2
1736696938.532089 input_key_build: 0x10e1b8 (KP3) is 3
